"Abraham Bradley, Jr.",Hannah Smith
"Brian Rix, Baron Rix",Elspet Gray
"Bridget ""Bee"" Vreeland",Billy Kline (fling)
"Bridget ""Bee"" Vreeland",Eric Richman (boyfriend)
"Bridget ""Bee"" Vreeland",Peter (fling)
"Brownlow Cecil, 2nd Marquess of Exeter",(1803-1879)
"Brownlow Cecil, 2nd Marquess of Exeter",Isabella Poyntz
"Brownlow Cecil, 4th Marquess of Exeter",(d. 1917)
"Brownlow Cecil, 4th Marquess of Exeter",Isabella Whichcote
"Bruno, 3rd Prince of Ysenburg and Büdingen",Princess Mathilde of Solms-Hohensolms-Lich
"C. E. ""Cap"" Barham",Carice Helen Hilburn Barham
"C. M. Eddy, Jr.",Muriel E. Eddy
"Camilla, Duchess of Cornwall","Charles, Prince of Wales"
"Camilla, Duchess of Cornwall",(divorced)
"Camilla, Duchess of Cornwall",1973
"Camilla, Duchess of Cornwall",1995
"Camilla, Duchess of Cornwall",2005
"Camilla, Duchess of Cornwall",Andrew Parker Bowles
"Carl Gunter, Jr.",Jessie Paulk Gunter
"Carl Ludwig II, Prince of Hohenlohe-Langenburg",Marie Dorothea Grathwohl
"Carl W. Thompson, Sr.",Noreen Stewart
"Carl, 3rd Prince of Leiningen",Countess Maria Klebelsberg
"Carl, Prince Bernadotte",Ann Margareta Larsson
"Carl, Prince Bernadotte",Countess Elsa von Rosen
"Carl, Prince Bernadotte",Kristine Rivelsrud
"Carl, Prince of Wied",Princess Isabelle of Isenburg
"Carlo Alessandro, 3rd Duke of Castel Duino",Veronique Lantz
"Carlos Fitz-James Stuart, 4th Duke of Liria and Jérica",Caroline zu Stolberg-Gedern
"Carlos Hugo, Duke of Parma",(1964-1981)
"Carlos Hugo, Duke of Parma",Princess Irene of the Netherlands
"Carlos Miguel Fitz-James Stuart, 14th Duke of Alba",Rosalia de Ventimiglia
"Carlos Zurita, Duke of Soria","Infanta Margarita, 2nd Duchess of Hernani"
"Carlos, Duke of Madrid",Berthe de Rohan
"Carlos, Duke of Madrid",Margherita of Parma
"Carlos, Duke of Madrid",Princess Margherita of Bourbon-Parma
"Carlota de Godoy, 2nd Duchess of Sueca",Camillo Ruspoli
"Carmen Franco, 1st Duchess of Franco",(m.1950-1998)
"Carmen Polo, 1st Lady of Meirás",Francisco Franco
"Carol Victor, Hereditary Prince of Albania",Eileen Johnston
"Carroll A. Campbell, Jr.",Iris Faye Rhodes
"Carter Harrison, Jr.",Edith Ogden Harrison
"Carter Harrison, Sr.","Margaret Sterans, Sophonisba Grayson Preston"
"Cassius Marcellus Clay, Sr.",Odessa Clay
"Cassius Marcellus Clay, Sr.",Odessa Grady Clay
"Catherine Wellesley, Duchess of Wellington","Arthur Wellesley, 1st Duke of Wellington"
"Catherine Willoughby, 12th Baroness Willoughby de Eresby","Charles Brandon, 1st Duke of Suffolk"
"Catherine Willoughby, 12th Baroness Willoughby de Eresby",Richard Bertie
"Catherine Willoughby, 12th Baroness Willoughby de Eresby",Richard Bertie (courtier)
"Catherine Woodville, Duchess of Buckingham and Bedford","Henry Stafford, 2nd Duke of Buckingham"
"Catherine Woodville, Duchess of Buckingham and Bedford","Jasper Tudor, 1st Duke of Bedford"
"Catherine Woodville, Duchess of Buckingham and Bedford",Richard Wingfield
"Catherine Woodville, Duchess of Buckingham and Bedford",Sir
"Catherine de' Medici, Governor of Siena","Ferdinand, Duke of Mantua and Montferrat"
"Catherine of Austria, Queen of Poland",Sigismund II Augustus
"Catherine of Austria, Queen of Portugal",John III of Portugal
"Catherine of Hungary, Queen of Serbia",Stephen Dragutin of Serbia
"Cecil Foljambe, 1st Earl of Liverpool",(1) Louisa Howard
"Cecil Foljambe, 1st Earl of Liverpool",(2) Susan Cavendish
"Cecil Foljambe, 1st Earl of Liverpool",(d. 1871)
"Cecil Foljambe, 1st Earl of Liverpool",(d. 1917)
"Cecil Harmsworth, 1st Baron Harmsworth",(1873-1942)
"Cecil Harmsworth, 1st Baron Harmsworth",Emilie Maffett
"Cecilia Bowes-Lyon, Countess of Strathmore and Kinghorne","Claude Bowes-Lyon, 14th Earl of Strathmore and Kinghorne"
"Cecilia Underwood, 1st Duchess of Inverness","Prince Augustus Frederick, Duke of Sussex"
"Cecilius Calvert, 2nd Baron Baltimore",Anne Arundell
"Cecily Bonville, 7th Baroness Harington","Henry Stafford, 1st Earl of Wiltshire"
"Cecily Bonville, 7th Baroness Harington","Thomas Grey, 1st Marquess of Dorset"
"Cecily Bonville, 7th Baroness Harington",(m.1474-1501)
"Cecily Bonville, 7th Baroness Harington",(m.1503-1523)
"Cecily Neville, Duchess of Warwick","Henry de Beauchamp, 1st Duke of Warwick"
"Cecily Neville, Duchess of Warwick","John Tiptoft, 1st Earl of Worcester"
"Cecily Neville, Duchess of Warwick",m. 1434; dec. 1446
"Cecily Neville, Duchess of Warwick",m. 1449; wid. 1450
"Cecily Neville, Duchess of York","Richard Plantagenet, 3rd Duke of York"
"Cesare d'Este, Duke of Modena",Virginia de' Medici
"Charles ""Tex"" Watson",Kristin Watson (Divorced 2003)
"Charles Abbot, 1st Baron Colchester",(1760-1847)
"Charles Abbot, 1st Baron Colchester",Elizabeth Gibbes
"Charles Abbot, 2nd Baron Colchester",(d. 1883)
"Charles Abbot, 2nd Baron Colchester",Hon. Elizabeth Law
"Charles Abbott, 1st Baron Tenterden",Mary Lamotte
"Charles Adderley, 1st Baron Norton",(1820-1887)
"Charles Adderley, 1st Baron Norton",Hon. Julia Leigh
"Charles Alexander, Grand Duke of Saxe-Weimar-Eisenach",Sophie of the Netherlands
"Charles Anthony, Prince of Hohenzollern",Princess Josephine of Baden
"Charles August, Crown Prince of Sweden",none
"Charles Augustus, Grand Duke of Saxe-Weimar-Eisenach",Louisa of Hesse-Darmstadt
"Charles Augustus, Hereditary Grand Duke of Saxe-Weimar-Eisenach (1844–1894)",Pauline of Saxe-Weimar-Eisenach
"Charles Augustus, Hereditary Grand Duke of Saxe-Weimar-Eisenach",Baroness Elisabeth of Wangenheim-Winterstein
"Charles Bennet, 4th Earl of Tankerville",Emma Colebrook
"Charles Brandon, 1st Duke of Suffolk","Mary Tudor, Queen Dowager of France"
"Charles Brandon, 1st Duke of Suffolk",Anne Browne
"Charles Brandon, 1st Duke of Suffolk",Catherine Willoughby
"Charles Brandon, 1st Duke of Suffolk",Margaret Mortimer
"Charles Brandon, 1st Duke of Suffolk",Mary Tudor (queen consort of France)
"Charles Calvert, 3rd Baron Baltimore",Jane Lowe
"Charles Calvert, 3rd Baron Baltimore",Margaret Charleton
"Charles Calvert, 3rd Baron Baltimore",Mary Bankes
"Charles Calvert, 3rd Baron Baltimore",Mary Darnall
"Charles Calvert, 5th Baron Baltimore",Mary Janson
"Charles Canning, 1st Earl Canning","Charlotte, Countess Canning"
"Charles Canning, 1st Earl Canning",(1817-1861)
"Charles Canning, 1st Earl Canning",Hon. Charlotte Stuart
"Charles Carnegie, 11th Earl of Southesk","Princess Maud, Countess of Southesk"
"Charles Carnegie, 11th Earl of Southesk",Evelyn Julia Williams-Freeman
"Charles Carnegie, 11th Earl of Southesk",Princess Maud of Fife
"Charles Chetwynd-Talbot, 19th Earl of Shrewsbury",(1836-1912)
"Charles Chetwynd-Talbot, 19th Earl of Shrewsbury",Anna Cockerell
"Charles Chetwynd-Talbot, 2nd Earl Talbot",Frances Lambart (d. 1819)
"Charles Cochrane-Baillie, 2nd Baron Lamington",Mary Houghton Hozier
"Charles Cripps, 1st Baron Parmoor",(1) Theresa Potter (d. 1893)
"Charles Cripps, 1st Baron Parmoor",(2) Marian Ellis (d. 1952)
"Charles D. Baker, Jr.",Lauren Baker
"Charles D. Lancaster, Jr.",Patches Shannon Lancaster
"Charles Denby, Jr.",Martha Dalzell Orr
"Charles Duncan, Jr.",Anne Smith Duncan
"Charles E. James, Sr.",Kay Coles James
"Charles E. Merrill, Jr.",Mary K. Merrill
"Charles Edward, Duke of Saxe-Coburg and Gotha",Princess Victoria Adelaide of Schleswig-Holstein
"Charles Emmanuel I, Duke of Savoy",Catherina Micaela of Spain
"Charles Emmanuel I, Duke of Savoy",Infanta Catherine Michelle of Spain
"Charles Emmanuel II, Duke of Savoy",Marie Jeanne Baptiste de Savoie-Nemours
"Charles Eugene, Duke of Württemberg",Elisabeth Fredericka Sophie of Brandenburg-Bayreuth
"Charles Eugene, Duke of Württemberg",Franziska of Hohenheim
"Charles Ferdinand, Duke of Berry",Princess Carolina of Naples and Sicily
"Charles Ferdinand, Duke of Berry",Princess Caroline of Naples
"Charles Ferdinand, Prince of Capua",Penelope Smyth
"Charles FitzCharles, 1st Earl of Plymouth",Lady Bridget Osborne
"Charles FitzRoy, 2nd Duke of Grafton",Lady Henrietta Somerset
"Charles Frederick, Duke of Holstein-Gottorp",Grand Duchess Anna Petrovna of Russia
"Charles Frederick, Grand Duke of Baden","Luise Karoline, Baroness Geyer of Geyersberg"
"Charles Frederick, Grand Duke of Baden",Karoline Luise of Hesse-Darmstadt
"Charles Frederick, Grand Duke of Saxe-Weimar-Eisenach",Maria Pavlovna of Russia
"Charles Gordon, 11th Marquess of Huntly",Amy Brooks (d. 1920)
"Charles Gordon, 11th Marquess of Huntly",Charlotte Fallon (d. 1939)
"Charles Gordon-Lennox, 5th Duke of Richmond",(1796-1874)
"Charles Gordon-Lennox, 5th Duke of Richmond",Lady Caroline Paget
"Charles Grisbaum, Jr.",Beverly M. Grisbaum (born 1941)
"Charles H. Baker, Jr.",Pauline Elizabeth Paulsen
"Charles Howard, 10th Duke of Norfolk",Catherine Brockholes
"Charles Howard, 11th Duke of Norfolk",Frances Scudamore
"Charles Howard, 11th Duke of Norfolk",Marion Coppinger
"Charles Howard, 1st Earl of Nottingham","Margaret Howard, Countess of Nottingham"
"Charles Howard, 1st Earl of Nottingham",Catherine Carey
"Charles Howard, 1st Earl of Nottingham",Margaret Stuart
"Charles Howard, 2nd Earl of Nottingham",Charity White
"Charles Howard, 2nd Earl of Nottingham",Mary Cokayne
"Charles Howard, 3rd Earl of Nottingham",Arabella Smith
"Charles I, Duke of Elbeuf",Marguerite de Chabot
"Charles I, Landgrave of Hesse-Kassel",Maria Amalia of Courland
"Charles II August, Duke of Zweibrücken",Maria Amalia of Saxony
"Charles II, Archduke of Austria",Maria Anna of Bavaria
"Charles II, Archduke of Austria",Maria Anna of Bavaria (Archduchess of Austria)
"Charles II, Duke of Brunswick-Wolfenbüttel",Princess Augusta of Great Britain
"Charles II, Duke of Elbeuf",Catherine Henriette de Bourbon
"Charles II, Duke of Parma",Princess Maria Teresa of Savoy
"Charles II, Grand Duke of Mecklenburg",Princess Charlotte of Hesse-Darmstadt
"Charles II, Grand Duke of Mecklenburg",Princess Friederike of Hesse-Darmstadt
"Charles III, Duke of Bourbon","Suzanne, Duchess of Bourbon"
"Charles III, Prince of Guéméné",Marie Anne d'Albert
"Charles IV, Duke of Lorraine",Nicolette of Lorraine
"Charles IV, Holy Roman Emperor",Anna of Bavaria
"Charles IV, Holy Roman Emperor",Anna von Schweidnitz
"Charles IV, Holy Roman Emperor",Blanche of Valois
"Charles IV, Holy Roman Emperor",Elizabeth of Pomerania
"Charles Jenkinson, 1st Earl of Liverpool",(1) Amelia Watts
"Charles Jenkinson, 1st Earl of Liverpool",(1744-1827)
"Charles Jenkinson, 1st Earl of Liverpool",(2) Catherine Bisshopp
"Charles Jenkinson, 1st Earl of Liverpool",(d. 1770)
"Charles Jenkinson, 3rd Earl of Liverpool",(d. 1814)
"Charles Jenkinson, 3rd Earl of Liverpool",Julia Shuckburgh-Evelyn
"Charles L. Terry, Jr.",Jessica Irby
"Charles Lennox, 1st Duke of Richmond",Anne Brudenell
"Charles Lennox, 4th Duke of Richmond",(1768&ndash;1842)
"Charles Lennox, 4th Duke of Richmond",Lady Charlotte Gordon
"Charles Long, 1st Baron Farnborough",Amelia Hume (d. 1837)
"Charles Maclean, Baron Maclean",Elizabeth Mann
"Charles Manners-Sutton, 1st Viscount Canterbury",(1) Lucy Denison (d. 1815)
"Charles Manners-Sutton, 1st Viscount Canterbury",(2) Ellen Power (d. 1845)
"Charles Monck, 4th Viscount Monck",Elizabeth Monck
"Charles Montagu, 1st Earl of Halifax",Countess Dowager of Manchester
"Charles Montague Cooke, Jr.",Eliza Lefferts
"Charles Neville, 6th Earl of Westmorland",Lady Jane Howard
"Charles Paulet, 2nd Duke of Bolton","Margaret Coventry, Frances Ramsden, Henrietta Crofts"
"Charles Pepys, 1st Earl of Cottenham",Caroline Wingfield-Baker (1801-1868)
"Charles Perceval, 2nd Baron Arden",(1768-1851)
"Charles Perceval, 2nd Baron Arden",Margaretta Wilson
"Charles Polk, Jr.",Mary Elizabeth Purnell
"Charles Robinson, Jr.","Bench and Bar of the Commonwealth of Massachusetts, Volume 1"
"Charles Robinson, Jr.","Boston, MA"
"Charles Robinson, Jr.",1895.
"Charles Robinson, Jr.",299.
"Charles Robinson, Jr.",Davis
"Charles Robinson, Jr.",Rebecca T. Ames
"Charles Robinson, Jr.",The Boston History Company
"Charles Robinson, Jr.",William Thomas
"Charles S. Dean, Sr.",Judy Baxter
"Charles Shaw-Lefevre, 1st Viscount Eversley",Emma Whitbread (d. 1857)
"Charles Somerset, 1st Earl of Worcester","Elizabeth Herbert, 3rd Baroness Herbert"
"Charles Somerset, 1st Earl of Worcester",Eleanor Sutton
"Charles Somerset, 1st Earl of Worcester",Elizabeth West
"Charles Somerset, 4th Duke of Beaufort","Elizabeth Somerset, Duchess of Beaufort"
"Charles Somerset, 4th Duke of Beaufort",Elizabeth Berkeley
"Charles Somerset, Marquess of Worcester",Rebecca Child
"Charles Spencer, 3rd Earl of Sunderland","Anne Spencer, Countess of Sunderland (1683-1716)"
"Charles Spencer, 3rd Earl of Sunderland",1695
"Charles Spencer, 3rd Earl of Sunderland",1698
"Charles Spencer, 3rd Earl of Sunderland",1700
"Charles Spencer, 3rd Earl of Sunderland",1716
"Charles Spencer, 3rd Earl of Sunderland",1717
"Charles Spencer, 3rd Earl of Sunderland",1722
"Charles Spencer, 3rd Earl of Sunderland",Anne Churchill
"Charles Spencer, 3rd Earl of Sunderland",Arabella Cavendish
"Charles Spencer, 3rd Earl of Sunderland",Judith Tichborne
"Charles Spencer, 6th Earl Spencer","Margaret Spencer, Countess Spencer"
"Charles Spencer, 6th Earl Spencer",Margaret Baring
"Charles Spencer, 9th Earl Spencer",Caroline Hutton (m.2002 div.2007)
"Charles Spencer, 9th Earl Spencer",Victoria Lockwood (m.1989 div.1997)
"Charles Spencer-Churchill, 9th Duke of Marlborough",(1)
"Charles Spencer-Churchill, 9th Duke of Marlborough",(1877-1964)
"Charles Spencer-Churchill, 9th Duke of Marlborough",(2) Gladys Deacon
"Charles Spencer-Churchill, 9th Duke of Marlborough",Consuelo Vanderbilt
"Charles Stuart-Wortley, 1st Baron Stuart of Wortley",Beatrice Trollope (d. 1881)
"Charles Townshend, 8th Marquess Townshend",Hermione Ponsonby (died)
"Charles V, Holy Roman Emperor",Isabella of Portugal
"Charles VII, Holy Roman Emperor",Maria Amalia of Austria
"Charles Vane, 3rd Marquess of Londonderry",(1) Catherine Bligh
"Charles Vane, 3rd Marquess of Londonderry",(2) Lady Frances Vane-Tempest (d. 1865)
"Charles Vane, 3rd Marquess of Londonderry",(d. 1812)
"Charles Vane-Tempest-Stewart, 6th Marquess of Londonderry",Lady Theresa Chetwynd-Talbot (d. 1919)
"Charles Vane-Tempest-Stewart, 7th Marquess of Londonderry","Edith Vane-Tempest-Stewart, Marchioness of Londonderry"
"Charles Vane-Tempest-Stewart, 7th Marquess of Londonderry",Hon. Edith Chaplin
"Charles W. DeWitt, Jr.","Patricia ""Dale"" Riddick DeWitt"
"Charles W. Engelhard, Jr.",Jane Engelhard
"Charles W. Engelhard, Jr.",Jane Mannheimer
"Charles Wellesley, Marquess of Douro","Princess Antonia, Marchioness of Douro"
"Charles Wellesley, Marquess of Douro",Princess Antonia of Prussia
"Charles William Carrico, Sr.",Paula Denise Sweet
"Charles William, Duke of Saxe-Meiningen",Luise of Stolberg-Gedern
"Charles Wood, 1st Viscount Halifax",Lady Mary Grey (d. 1884)
"Charles Yorke, 4th Earl of Hardwicke",(c. 1810-1886)
"Charles Yorke, 4th Earl of Hardwicke",Hon. Susan Liddell
"Charles Yorke, 5th Earl of Hardwicke",Lady Sophia Wellesley (1840-1923)
"Charles of Saxony, Duke of Courland",Franciscka of Corvin-Krasinska
"Charles, 6th Prince of Löwenstein-Wertheim-Rosenberg",Princess Sophie of Liechtenstein
"Charles, Count of Marsan",Catherine de Goyon de Matignon
"Charles, Duke of Brittany","Joanna, Duchess of Brittany"
"Charles, Duke of Orléans",Bonne d'Armagnac
"Charles, Duke of Orléans",Isabella of Valois
"Charles, Duke of Orléans",Marie of Cleves
"Charles, Prince of Hohenzollern-Sigmaringen",Marie Antoinette Murat
"Charles, Prince of Soubise",Anne Marie Louise de La Tour d'Auvergne
"Charles, Prince of Soubise",Landgravine Anna Viktoria of Hesse-Rotenburg
"Charles, Prince of Soubise",Princess Anna Teresa of Savoy
"Charles, Prince of Viana",Agnes of Cleves
"Charlotte Lee, Lady Baltimore","Benedict Leonard Calvert, 4th Baron Baltimore"
"Charlotte Lee, Lady Baltimore",Christopher Crowe
"Charlotte, Grand Duchess of Luxembourg",Prince Felix of Bourbon-Parma
"Chester E. Finn, Jr.",", August 3, 1974"
"Chester E. Finn, Jr.","Renu Virmani,"
"Chester E. Finn, Jr.",2009-05-16
"Chester E. Finn, Jr.",23 June 2004
"Chester E. Finn, Jr.",American College of Cardiology
"Chester E. Finn, Jr.",Doctor of Medicine
"Chester E. Finn, Jr.",F.A.C.C.
"Chester E. Finn, Jr.",HeartWire
"Chester E. Finn, Jr.",M.D.
"Chester E. Finn, Jr.",Shelley
"Chester E. Finn, Jr.",Shelley Wood
"Chester E. Finn, Jr.",Standing against the stream: Dr Renu Virmani
"Chester E. Finn, Jr.",WebMD
"Chester E. Finn, Jr.",Wood
"Chester E. Finn, Jr.",http://www.theheart.org/article/126933.do
"Chichester Parkinson-Fortescue, 1st Baron Carlingford",(1821-1829)
"Chichester Parkinson-Fortescue, 1st Baron Carlingford",Frances Braham
"Chris Patten, Baron Patten of Barnes",Lavender Patten
"Christian Ernest II, Duke of Saxe-Coburg-Saalfeld",Christiane Fredericka of Koss
"Christian I, Elector of Saxony",Sophie of Brandenburg
"Christian II, Elector of Saxony",Hedwig of Denmark
"Christian, Duke of Saxe-Eisenberg",Christiane of Saxe-Merseburg
"Christian, Duke of Saxe-Eisenberg",Sophie Marie of Hesse-Darmstadt
"Christian, Prince Elect of Denmark",Magdalene Sibylle of Saxony
"Christoph, Prince of Schleswig-Holstein",Princess Elisabeth of Lippe-Weissenfeld
"Christopher Addison, 1st Viscount Addison",(1) Isobel Gray (d. 1934)
"Christopher Addison, 1st Viscount Addison",(2) Beatrice Low (d. 1982)
"Christopher C. Kraft, Jr.",Betty Anne Kraft
"Christopher Edley, Jr.",Maria Echaveste
"Christopher Soames, Baron Soames","Mary Soames, Baroness Soames"
"Christopher Soames, Baron Soames",Mary Churchill
"Cindy ""Mac"" Mackenzie","(Boyfriend, deceased)"
"Cindy ""Mac"" Mackenzie",Bronson Pope (Ex-boyfriend)
"Cindy ""Mac"" Mackenzie",Cassidy Casablancas
"Cindy ""Mac"" Mackenzie",Max (Boyfriend)
"Claire Windsor, Countess of Ulster","Alexander Windsor, Earl of Ulster"
"Clara Gonzaga, Countess of Montpensier","Gilbert, Count of Montpensier"
"Clare Mountbatten, Marchioness of Milford Haven","George Mountbatten, 4th Marquess of Milford Haven"
"Clarence Clyde Ferguson, Jr.",Dolores Zimmerman
"Clarissa Eden, Countess of Avon",", 1st Earl of Avon"
"Clarissa Eden, Countess of Avon",1952
"Clarissa Eden, Countess of Avon",1977
"Clarissa Eden, Countess of Avon",Anthony Eden
"Clarissa Eden, Countess of Avon",Sir Anthony Eden
"Clark T. Randt, Jr.",Sarah Talcott Randt
"Claud Schuster, 1st Baron Schuster",Mabel Elizabeth Merry
"Claude Bowes-Lyon, 14th Earl of Strathmore and Kinghorne","Cecilia Bowes-Lyon, Countess of Strathmore and Kinghorne"
"Claude Bowes-Lyon, 14th Earl of Strathmore and Kinghorne",Cecilia Cavendish-Bentinck
"Claude R. Kirk, Jr.",Erika Mattfeld
"Claude R. Kirk, Jr.",Sarah Stokes
"Claude Wendell Horton, Jr.",Elisabeth A. Becker
"Clayton W. Williams, Sr.","Chicora Lee Graham Williams,"
"Clayton W. Williams, Sr.","known as ""Chic"" Williams"
"Clayton W. Williams, Sr.",(married 1928-his death)
"Clementine Churchill, Baroness Spencer-Churchill",12 September 1908
"Clementine Churchill, Baroness Spencer-Churchill",24 January 1965
"Clementine Churchill, Baroness Spencer-Churchill",Winston Churchill
"Clint Murchison, Jr.",1) Jane Catherine Coleman
"Clint Murchison, Jr.",2) Anne Ferrell Brandt
"Clotilde, Princess of Venice and Piedmont",Emanuele Filiberto di Savoia
"Clotilde, Princess of Venice and Piedmont",Emanuele Filiberto di Savoia (1972)
"Colin Sutherland, Lord Carloway",Jane Turnbull
"Conrad Hilton, Jr.",1950
"Conrad Hilton, Jr.",1951
"Conrad Hilton, Jr.",1958
"Conrad Hilton, Jr.",1965
"Conrad Hilton, Jr.",Elizabeth Taylor
"Conrad Hilton, Jr.",Patricia McClintock
"Conrad, Margrave of Meissen",Luitgard of Elchingen-Ravenstein
